Player_Sleeper,KTC_Value
Josh Allen,9993
Bijan Robinson,9982
Ja'Marr Chase,9890
Jaxon Smith-Njigba,9784
Jahmyr Gibbs,9632
Drake Maye,9368
Puka Nacua,9234
Jayden Daniels,7752
Brock Bowers,7738
Caleb Williams,7736
Malik Nabers,7731
Amon-Ra St. Brown,7711
Justin Jefferson,7682
Lamar Jackson,7681
Trey McBride,7611
Ashton Jeanty,7455
Jeremiyah Love,7418
Joe Burrow,7357
CeeDee Lamb,7339
Justin Herbert,6928
Drake London,6918
2027 Early 1st,6883
De'Von Achane,6821
Patrick Mahomes,6812
Omarion Hampton,6750
Jaxson Dart,6688
Tetairoa McMillan,6622
Jalen Hurts,6324
Trevor Lawrence,6301
Bo Nix,6230
George Pickens,6045
James Cook,6004
Jonathan Taylor,5995
Emeka Egbuka,5994
Colston Loveland,5994
Brock Purdy,5970
2026 Early 1st,5817
Garrett Wilson,5772
Tyler Warren,5764
Nico Collins,5757
Kenneth Walker,5752
Jordan Love,5699
Chris Olave,5686
2027 Mid 1st,5635
Fernando Mendoza,5614
Rome Odunze,5554
TreVeyon Henderson,5491
Quinshon Judkins,5406
Ladd McConkey,5404
Luther Burden,5366
Breece Hall,5363
Carnell Tate,5184
Cam Ward,5167
Christian McCaffrey,5144
Makai Lemon,5096
Bucky Irving,5078
Dak Prescott,5057
Marvin Harrison Jr,5010
2028 Early 1st,4991
Chase Brown,4972
Harold Fannin,4963
DeVonta Smith,4947
Tee Higgins,4933
Saquon Barkley,4923
Brian Thomas Jr,4923
Kyren Williams,4869
Jaylen Waddle,4861
Jordyn Tyson,4801
Jameson Williams,4795
C.J. Stroud,4794
2027 Late 1st,4781
Rashee Rice,4780
Baker Mayfield,4772
Tucker Kraft,4769
A.J. Brown,4768
Sam Darnold,4763
2026 Mid 1st,4752
Zay Flowers,4695
Travis Etienne,4693
Jared Goff,4670
Tyler Shough,4635
Josh Jacobs,4595
Javonte Williams,4555
Sam LaPorta,4536
2028 Mid 1st,4536
Bryce Young,4523
Kyle Pitts,4520
Cam Skattebo,4520
Kyler Murray,4404
Kenyon Sadiq,4375
Alec Pierce,4349
Daniel Jones,4274
Malik Willis,4122
Bhayshul Tuten,3955
Jordan Addison,3944
2026 Late 1st,3928
2028 Late 1st,3924
DJ Moore,3920
Oronde Gadsden,3853
Derrick Henry,3776
RJ Harvey,3763
Michael Wilson,3750
KC Concepcion,3749
Zach Charbonnet,3732
2027 Early 2nd,3732
Matthew Stafford,3725
Wan'Dale Robinson,3700
Romeo Doubs,3682
Travis Hunter,3660
DK Metcalf,3641
Christian Watson,3639
Parker Washington,3593
Ricky Pearsall,3591
Jayden Higgins,3583
Tyler Allgeier,3559
Matthew Golden,3555
Kyle Monangai,3554
Davante Adams,3550
Michael Pittman,3540
D'Andre Swift,3532
David Montgomery,3498
Isaiah Likely,3493
Chuba Hubbard,3414
Omar Cooper Jr,3414
2027 Mid 2nd,3413
Terry McLaurin,3412
Xavier Worthy,3397
Jakobi Meyers,3391
Denzel Boston,3383
Jake Ferguson,3366
Quentin Johnston,3351
Dalton Kincaid,3350
2026 Early 2nd,3348
Josh Downs,3339
Mike Evans,3335
Rico Dowdle,3324
Jayden Reed,3295
Blake Corum,3269
George Kittle,3261
Jaylen Warren,3229
Courtland Sutton,3184
2028 Early 2nd,3110
Jalen McMillan,3107
Michael Penix Jr,3098
